review_id,product_id,review,rating,date
R00000,P0009,Product quality was below expectation.,5,2025-11-05
R00001,P0003,Customer service did not respond.,3,2025-03-21
R00002,P0030,"Packaging was damaged, but product is fine.",5,2025-02-12
R00003,P0029,Amazing build quality and easy to use.,2,2025-08-21
R00004,P0038,Size/color not as described.,5,2024-12-31
R00005,P0041,"Five stars, will buy again.",5,2025-02-24
R00006,P0041,"Packaging was damaged, but product is fine.",5,2025-05-26
R00007,P0031,"Exceeded expectations, highly recommend!",5,2025-10-05
R00008,P0029,Customer service did not respond.,3,2025-04-22
R00009,P0017,"Packaging was damaged, but product is fine.",2,2025-11-14
R00010,P0001,Product quality was below expectation.,5,2025-05-27
R00011,P0019,Amazing build quality and easy to use.,4,2025-11-15
R00012,P0045,Size/color not as described.,4,2025-06-19
R00013,P0001,"Packaging was damaged, but product is fine.",4,2025-01-18
R00014,P0015,Amazing build quality and easy to use.,1,2025-05-12
R00015,P0013,Amazing build quality and easy to use.,4,2025-04-10
R00016,P0026,Product quality was below expectation.,2,2024-12-24
R00017,P0025,"Exceeded expectations, highly recommend!",4,2025-07-08
R00018,P0006,"Exceeded expectations, highly recommend!",4,2025-02-28
R00019,P0040,"Packaging was damaged, but product is fine.",3,2024-12-22
R00020,P0035,"Five stars, will buy again.",3,2025-08-15
R00021,P0005,Product quality was below expectation.,2,2025-06-24
R00022,P0008,Mediocre experience overall.,4,2025-04-02
R00023,P0018,Size/color not as described.,5,2025-08-15
R00024,P0021,Product quality was below expectation.,1,2025-10-25
R00025,P0035,Product quality was below expectation.,1,2025-09-28
R00026,P0019,Product quality was below expectation.,3,2025-04-09
R00027,P0001,Good value for money.,2,2025-09-03
R00028,P0001,"Exceeded expectations, highly recommend!",4,2025-05-28
R00029,P0027,Size/color not as described.,3,2025-05-13
R00030,P0030,Customer service did not respond.,1,2025-10-09
R00031,P0010,"Packaging was damaged, but product is fine.",1,2025-05-03
R00032,P0005,Size/color not as described.,5,2025-08-19
R00033,P0013,"Five stars, will buy again.",3,2025-11-13
R00034,P0008,"Five stars, will buy again.",2,2025-04-07
R00035,P0016,"Exceeded expectations, highly recommend!",1,2025-03-29
R00036,P0007,"Exceeded expectations, highly recommend!",5,2025-03-22
R00037,P0025,Customer service did not respond.,3,2025-08-30
R00038,P0041,Amazing build quality and easy to use.,1,2025-02-26
R00039,P0008,Size/color not as described.,3,2024-12-28
R00040,P0020,Customer service did not respond.,2,2025-10-24
R00041,P0043,Good value for money.,2,2025-07-22
R00042,P0041,Customer service did not respond.,4,2025-11-12
R00043,P0011,Mediocre experience overall.,3,2025-09-19
R00044,P0026,"Great product, fast delivery.",2,2025-10-29
R00045,P0038,Mediocre experience overall.,4,2025-09-01
R00046,P0024,"Exceeded expectations, highly recommend!",1,2025-08-31
R00047,P0032,Mediocre experience overall.,1,2025-05-30
R00048,P0041,"Great product, fast delivery.",1,2025-05-21
R00049,P0042,Amazing build quality and easy to use.,2,2025-09-26
R00050,P0009,"Exceeded expectations, highly recommend!",4,2025-06-10
R00051,P0036,Size/color not as described.,3,2025-08-13
R00052,P0002,Customer service did not respond.,4,2025-09-12
R00053,P0017,Size/color not as described.,1,2024-11-23
R00054,P0029,"Packaging was damaged, but product is fine.",5,2025-02-15
R00055,P0045,"Exceeded expectations, highly recommend!",4,2025-02-02
R00056,P0012,Customer service did not respond.,5,2025-06-07
R00057,P0030,Mediocre experience overall.,3,2025-02-09
R00058,P0011,Amazing build quality and easy to use.,1,2025-09-01
R00059,P0029,"Packaging was damaged, but product is fine.",3,2025-02-15
R00060,P0024,"Great product, fast delivery.",4,2024-12-28
R00061,P0033,Product quality was below expectation.,4,2025-11-10
R00062,P0040,Mediocre experience overall.,3,2025-07-20
R00063,P0021,Amazing build quality and easy to use.,1,2025-05-05
R00064,P0013,Size/color not as described.,5,2025-02-10
R00065,P0010,"Packaging was damaged, but product is fine.",5,2025-06-07
R00066,P0027,Good value for money.,3,2025-10-01
R00067,P0034,"Great product, fast delivery.",1,2025-09-14
R00068,P0012,"Exceeded expectations, highly recommend!",1,2025-09-26
R00069,P0032,Good value for money.,2,2025-11-03
R00070,P0037,Size/color not as described.,4,2025-02-23
R00071,P0040,"Packaging was damaged, but product is fine.",5,2025-10-25
R00072,P0024,Mediocre experience overall.,2,2025-10-14
R00073,P0001,Size/color not as described.,2,2025-10-10
R00074,P0030,Customer service did not respond.,1,2025-02-07
R00075,P0027,"Great product, fast delivery.",3,2025-01-08
R00076,P0018,"Great product, fast delivery.",5,2025-10-14
R00077,P0020,"Exceeded expectations, highly recommend!",1,2025-02-27
R00078,P0007,"Exceeded expectations, highly recommend!",1,2025-02-20
R00079,P0025,"Exceeded expectations, highly recommend!",2,2025-02-23
R00080,P0043,Mediocre experience overall.,2,2025-01-03
R00081,P0012,Amazing build quality and easy to use.,5,2025-04-21
R00082,P0007,Customer service did not respond.,5,2024-12-09
R00083,P0030,Good value for money.,4,2025-08-26
R00084,P0012,"Five stars, will buy again.",5,2025-03-06
R00085,P0022,Amazing build quality and easy to use.,2,2025-01-16
R00086,P0029,Customer service did not respond.,3,2025-02-11
R00087,P0021,"Five stars, will buy again.",3,2024-12-30
R00088,P0028,Mediocre experience overall.,3,2025-07-19
R00089,P0037,"Exceeded expectations, highly recommend!",5,2025-05-11
R00090,P0036,Customer service did not respond.,3,2025-04-02
R00091,P0029,"Great product, fast delivery.",4,2025-11-02
